"person_id","person_type","crash_record_id","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1853553","DRIVER","525dad238435cd362c200e201cc91c31dce1674c81f57bb4fd3ba1470697927e8514da51ee904734fb40c214e1e1504a23999b58de566c123c8fc8dc6a9215c1","1765729","2024-06-30T00:58:00.000",,"CHICAGO","IL","60632","M","24","IL",,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","OTHER",,,,"TEST NOT OFFERED",,
"O1853544","DRIVER","64f9726fd75a5303ed41882f3a30cf3e791fcbcf000a435f31d68919d8695ebd4655d145bfe468b9ea41151f52a798badb849123df56278176265ab61f8dc9e1","1765712","2024-06-30T00:52:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853569","DRIVER","043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe","1765746","2024-06-30T00:48:00.000",,"CHICAGO","IL","60639","F","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","DECLINED","CFD",,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853570","DRIVER","043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe","1765753","2024-06-30T00:48:00.000",,"CHICAGO","IL","60634","F","56","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P410006","PASSENGER","043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe","1765746","2024-06-30T00:48:00.000","3","CHICAGO","IL","60639","F","22",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","DECLINED","CFD","23",,,,,,,,,
"P410007","PASSENGER","043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe","1765746","2024-06-30T00:48:00.000","4","CHICAGO","IL","60639","M","11",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,"CFD","23",,,,,,,,,
"P410009","PASSENGER","043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe","1765753","2024-06-30T00:48:00.000","3",,"IL",,,,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853576","DRIVER","f5aebdcf3d147b1dd371888291ee8523becc892b9602d5b202232f563b07273bcdd0be7f2eb4c02e6db5f519f47c95fef8c7e69511d1fcf08cce6677596fdec3","1765751","2024-06-30T00:40:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853577","DRIVER","f5aebdcf3d147b1dd371888291ee8523becc892b9602d5b202232f563b07273bcdd0be7f2eb4c02e6db5f519f47c95fef8c7e69511d1fcf08cce6677596fdec3","1765756","2024-06-30T00:40:00.000",,"CHICAGO","IL","60618","M","32","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","REFUSED",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P410008","PASSENGER","f5aebdcf3d147b1dd371888291ee8523becc892b9602d5b202232f563b07273bcdd0be7f2eb4c02e6db5f519f47c95fef8c7e69511d1fcf08cce6677596fdec3","1765751","2024-06-30T00:40:00.000","3","CHICAGO","IL","60644","F","29",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NONINCAPACITATING INJURY","STROGER","CFD AMBO 45",,,,,,,,,,
"O1853505","DRIVER","9eb111ab9bd7540cf5db27683e4c9279201fe02e59a1a214ee793c1148b2928d37b7994735c5490a7d39f8068d37103c8d01ca82af99ea253c85230225fbb96f","1765684","2024-06-29T23:55:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853506","DRIVER","9eb111ab9bd7540cf5db27683e4c9279201fe02e59a1a214ee793c1148b2928d37b7994735c5490a7d39f8068d37103c8d01ca82af99ea253c85230225fbb96f","1765680","2024-06-29T23:55:00.000",,"NAPERVILLE","IL","60564","F","34","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P409981","PASSENGER","9eb111ab9bd7540cf5db27683e4c9279201fe02e59a1a214ee793c1148b2928d37b7994735c5490a7d39f8068d37103c8d01ca82af99ea253c85230225fbb96f","1765680","2024-06-29T23:55:00.000","6","NAPERVILLE","IL","60564","F","22",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P409982","PASSENGER","9eb111ab9bd7540cf5db27683e4c9279201fe02e59a1a214ee793c1148b2928d37b7994735c5490a7d39f8068d37103c8d01ca82af99ea253c85230225fbb96f","1765684","2024-06-29T23:55:00.000","3",,,,"F",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853494","BICYCLE","b64bcb0e908f3d4cf5e5966ecf496596ed1a91986ba25a5bc719ca69aabb0ce50cca82826f33c8592f1fe39f337dc24964fe15072b012dde618663cb358c4132",,"2024-06-29T23:41:00.000",,"CHICAGO","IL","60647","F","29",,,"HELMET NOT USED",,"NONE","NONINCAPACITATING INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL","CROSSING - AGAINST SIGNAL","NO CONTRASTING CLOTHING","UNKNOWN/NA","TEST NOT OFFERED",,
"O1853495","DRIVER","b64bcb0e908f3d4cf5e5966ecf496596ed1a91986ba25a5bc719ca69aabb0ce50cca82826f33c8592f1fe39f337dc24964fe15072b012dde618663cb358c4132","1765672","2024-06-29T23:41:00.000",,"CHICAGO","IL","60647","M","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P409974","PASSENGER","b64bcb0e908f3d4cf5e5966ecf496596ed1a91986ba25a5bc719ca69aabb0ce50cca82826f33c8592f1fe39f337dc24964fe15072b012dde618663cb358c4132","1765672","2024-06-29T23:41:00.000","3","CHICAGO","IL","60647","F","23",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853557","DRIVER","c4737f9f2ccfdba91d6c63cf4aeee3ce518561af3f9ad589c2df6fc6821b53f07ade94a26381e35ab39fa481d4f1b5837e10c92f24b5674666f4e7756d47b9c5","1765734","2024-06-29T23:25:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NONINCAPACITATING INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853558","DRIVER","c4737f9f2ccfdba91d6c63cf4aeee3ce518561af3f9ad589c2df6fc6821b53f07ade94a26381e35ab39fa481d4f1b5837e10c92f24b5674666f4e7756d47b9c5","1765761","2024-06-29T23:25:00.000",,"CHICAGO","IL","60619","M","37","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY",,,,"NONE","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"P410011","PASSENGER","c4737f9f2ccfdba91d6c63cf4aeee3ce518561af3f9ad589c2df6fc6821b53f07ade94a26381e35ab39fa481d4f1b5837e10c92f24b5674666f4e7756d47b9c5","1765761","2024-06-29T23:25:00.000","3","CHICAGO","IL","60620","F","40",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,,,,,,,,,
"O1853481","DRIVER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765676","2024-06-29T23:05:00.000",,"CHICAGO","IL","60638","M","19","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY","REFUSED",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST REFUSED",,
"O1853482","DRIVER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765687","2024-06-29T23:05:00.000",,"CICERO","IL","60804","M","67","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY","REFUSED",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P409977","PASSENGER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765676","2024-06-29T23:05:00.000","3",,"IL",,"M",,,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P409978","PASSENGER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765676","2024-06-29T23:05:00.000","5",,"IL",,"F",,,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P409979","PASSENGER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765676","2024-06-29T23:05:00.000","4",,"IL",,"F",,,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P409980","PASSENGER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765676","2024-06-29T23:05:00.000","6",,"IL",,"F",,,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P409984","PASSENGER","0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7","1765687","2024-06-29T23:05:00.000","3",,"IL",,"M",,,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853478","DRIVER","eec1e5e9173c4dadbc54333b17ef9e2339a3f73edc62e4e776b704d3d4f5b1fe064c47d59fbbe8fe085ba84ae6f24489a3dd70bef815c7bc2067a0bb2e397a1c","1765647","2024-06-29T22:43:00.000",,"CHICAGO","IL","60637","M","52",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853479","DRIVER","eec1e5e9173c4dadbc54333b17ef9e2339a3f73edc62e4e776b704d3d4f5b1fe064c47d59fbbe8fe085ba84ae6f24489a3dd70bef815c7bc2067a0bb2e397a1c","1765658","2024-06-29T22:43:00.000",,"CHICAGO","IL","60652","M","30","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853480","DRIVER","eec1e5e9173c4dadbc54333b17ef9e2339a3f73edc62e4e776b704d3d4f5b1fe064c47d59fbbe8fe085ba84ae6f24489a3dd70bef815c7bc2067a0bb2e397a1c","1765666","2024-06-29T22:43:00.000",,"CHICAGO","IL","60628","F","48","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P409973","PASSENGER","eec1e5e9173c4dadbc54333b17ef9e2339a3f73edc62e4e776b704d3d4f5b1fe064c47d59fbbe8fe085ba84ae6f24489a3dd70bef815c7bc2067a0bb2e397a1c","1765666","2024-06-29T22:43:00.000","3",,"IL","60619","F","49",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853463","DRIVER","3aa9e4419dddd3bba4d52f1715c5cd83d4180b939fad3535c25d9c801b2ea7b60438e6033f4356e93dfe5d7c563cab129d40d5566a19536af0f9ace44ec57367","1765642","2024-06-29T22:40:00.000",,"CHICAGO","IL","60626","M","26","IL",,"SAFETY BELT USED","DID NOT DEPLOY","UNKNOWN","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853464","DRIVER","3aa9e4419dddd3bba4d52f1715c5cd83d4180b939fad3535c25d9c801b2ea7b60438e6033f4356e93dfe5d7c563cab129d40d5566a19536af0f9ace44ec57367","1765639","2024-06-29T22:40:00.000",,"MONEE","IL","60449","M","27","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P409971","PASSENGER","3aa9e4419dddd3bba4d52f1715c5cd83d4180b939fad3535c25d9c801b2ea7b60438e6033f4356e93dfe5d7c563cab129d40d5566a19536af0f9ace44ec57367","1765639","2024-06-29T22:40:00.000","2",,,,"F",,,,"SAFETY BELT NOT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853496","DRIVER","6428564336a35e97acaa1616a152a9cdeb7ae7563e93fe3fe038b24a8ae76a33328d66f1ae1b00ef4e1bcc3c9f9d67595ca344a17a301cd5c1a00f017be74fab","1765673","2024-06-29T22:40:00.000",,"CHICAGO","IL","60617","M","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853476","DRIVER","517f83820d3ffbc4346c10af0c25a712348aeed9a90fec6b2b8188c9720ca7f82d7530b5d2a568ad3d2ded64f8592af69da87fbdcc6d675511c0546af393f5b5","1765651","2024-06-29T22:20:00.000",,"SKOKIE","IL","60077","M","33","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","9","99",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853477","DRIVER","517f83820d3ffbc4346c10af0c25a712348aeed9a90fec6b2b8188c9720ca7f82d7530b5d2a568ad3d2ded64f8592af69da87fbdcc6d675511c0546af393f5b5","1765659","2024-06-29T22:20:00.000",,"CHICAGO","IL","60659","M","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","99","99",,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1853483","DRIVER","654f65ba50eb0f5253bd6a9802f80482378f8d92c17fdf27b8a5ab6c2ef7704fcb4ddf266cac907f52856c4e0efc104fe1f1dde28d1bf96f57401f75ddeaf4fe","1765652","2024-06-29T22:15:00.000",,,,,"M",,,,"DOT COMPLIANT MOTORCYCLE HELMET","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853484","DRIVER","654f65ba50eb0f5253bd6a9802f80482378f8d92c17fdf27b8a5ab6c2ef7704fcb4ddf266cac907f52856c4e0efc104fe1f1dde28d1bf96f57401f75ddeaf4fe","1765656","2024-06-29T22:15:00.000",,"CHICAGO","IL","60632","M","57","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853473","DRIVER","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","1765644","2024-06-29T22:15:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853474","DRIVER","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","1765653","2024-06-29T22:15:00.000",,"CHICAGO","IL","60609","M","38","IL",,"USAGE UNKNOWN","NOT APPLICABLE","UNKNOWN","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1853475","DRIVER","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","1765657","2024-06-29T22:15:00.000",,"CHICAGO","IL","60619","F","61","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853453","DRIVER","0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776","1765630","2024-06-29T22:12:00.000",,"HOMEWOOD","IL","60430","F","22","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853454","DRIVER","0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776","1765634","2024-06-29T22:12:00.000",,"CHICAGO","IL","60612","M","36","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P409970","PASSENGER","0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776","1765630","2024-06-29T22:12:00.000","3","ROBBINS","IL","60472","F","30",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853459","DRIVER","211a07a2de1e72f74e8b1a518757a906293a9d33781f1833daadb20c908a2e776e70f0250b25bef7af21967cea2de424104655dc6a495bdc304d9305ef557594","1765678","2024-06-29T22:00:00.000",,"BARTLETT","IL","60103","M","46","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853460","DRIVER","211a07a2de1e72f74e8b1a518757a906293a9d33781f1833daadb20c908a2e776e70f0250b25bef7af21967cea2de424104655dc6a495bdc304d9305ef557594","1765654","2024-06-29T22:00:00.000",,"CHICAGO","IL","60706","M","18","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853437","DRIVER","360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949","1765613","2024-06-29T22:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853438","DRIVER","360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949","1765617","2024-06-29T22:00:00.000",,"WHEELING","IL","60090","M","29","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P409965","PASSENGER","360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949","1765617","2024-06-29T22:00:00.000","3",,,,"M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1853507","DRIVER","c8134fe4e5a1c42c4b3ff9088a220f2b94da95594149d6acb0ee7a85c5f8b97450a395d9e44e0a44a9c158ef6e1f879426df170454ff747acaeb7d2f2959f679","1765681","2024-06-29T22:00:00.000",,"CHICAGO","IL","60621","M","59","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853508","DRIVER","c8134fe4e5a1c42c4b3ff9088a220f2b94da95594149d6acb0ee7a85c5f8b97450a395d9e44e0a44a9c158ef6e1f879426df170454ff747acaeb7d2f2959f679","1765686","2024-06-29T22:00:00.000",,"CHICAGO","IL","60639","F","26","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
