"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"0f060e2a919f8015856250deeb2cd79844e3a725c85a20b3532e4cf59980821e44b6ba01ae8b01d156cc58bcc8baa3d6b3e4c12eb8e7cd669dedd240a22244c7",,"2024-06-29T23:05:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-06-29T23:05:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4700","S","PULASKI RD","815",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","7","0","23","7","6","41.807788769","-87.723730332","POINT (-87.72373033158 41.807788769095)"
"eec1e5e9173c4dadbc54333b17ef9e2339a3f73edc62e4e776b704d3d4f5b1fe064c47d59fbbe8fe085ba84ae6f24489a3dd70bef815c7bc2067a0bb2e397a1c",,"2024-06-29T22:43:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAWN","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"N","OVER $1,500","2024-06-29T23:15:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","8105","S","HALSTED ST","622",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","4","0","22","7","6","41.746797187","-87.643780994","POINT (-87.643780994015 41.746797187171)"
"3aa9e4419dddd3bba4d52f1715c5cd83d4180b939fad3535c25d9c801b2ea7b60438e6033f4356e93dfe5d7c563cab129d40d5566a19536af0f9ace44ec57367",,"2024-06-29T22:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-29T23:33:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","1400","N","LAKE SHORE DR NB","1824",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","7","6","41.907909926","-87.625741088","POINT (-87.625741088327 41.90790992609)"
"6428564336a35e97acaa1616a152a9cdeb7ae7563e93fe3fe038b24a8ae76a33328d66f1ae1b00ef4e1bcc3c9f9d67595ca344a17a301cd5c1a00f017be74fab",,"2024-06-29T22:40:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-29T22:40:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","3000","S","WENTWORTH AVE","914",,,,"N",,,"3","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","7","6","41.839641625","-87.631861032","POINT (-87.631861032164 41.839641624592)"
"517f83820d3ffbc4346c10af0c25a712348aeed9a90fec6b2b8188c9720ca7f82d7530b5d2a568ad3d2ded64f8592af69da87fbdcc6d675511c0546af393f5b5",,"2024-06-29T22:20:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DUSK","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-06-29T23:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","131","W","OAK ST","1832",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","7","6","41.900427378","-87.632766232","POINT (-87.632766231804 41.900427378441)"
"654f65ba50eb0f5253bd6a9802f80482378f8d92c17fdf27b8a5ab6c2ef7704fcb4ddf266cac907f52856c4e0efc104fe1f1dde28d1bf96f57401f75ddeaf4fe",,"2024-06-29T22:15:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","OVER $1,500","2024-06-29T22:15:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4300","S","WESTERN AVE","922",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","7","6","41.815603205","-87.684772724","POINT (-87.684772723609 41.815603204509)"
"fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020",,"2024-06-29T22:15:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"Y","OVER $1,500","2024-06-29T22:20:00.000","UNABLE TO DETERMINE","FAILING TO YIELD RIGHT-OF-WAY","70","E","GARFIELD BLVD","225",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","7","6","41.794794024","-87.622915104","POINT (-87.62291510355 41.794794024265)"
"0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776",,"2024-06-29T22:12:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2024-06-29T22:45:00.000","FAILING TO YIELD RIGHT-OF-WAY","FAILING TO REDUCE SPEED TO AVOID CRASH","200","W","NORTH AVE","1814",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","7","6","41.911271144","-87.63476048","POINT (-87.634760480217 41.911271144127)"
"211a07a2de1e72f74e8b1a518757a906293a9d33781f1833daadb20c908a2e776e70f0250b25bef7af21967cea2de424104655dc6a495bdc304d9305ef557594",,"2024-06-29T22:00:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-06-29T22:45:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2001","W","LAWRENCE AVE","1911",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","7","6","41.968645633","-87.679244151","POINT (-87.679244151273 41.968645632956)"
"360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949",,"2024-06-29T22:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-29T22:30:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6700","W","HIGGINS AVE","1613",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","7","6","41.978673837","-87.795062062","POINT (-87.795062062128 41.978673837236)"
"c8134fe4e5a1c42c4b3ff9088a220f2b94da95594149d6acb0ee7a85c5f8b97450a395d9e44e0a44a9c158ef6e1f879426df170454ff747acaeb7d2f2959f679",,"2024-06-29T22:00:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-06-30T00:20:00.000","DISREGARDING TRAFFIC SIGNALS","UNABLE TO DETERMINE","5901","S","MORGAN ST","712",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","7","6","41.786867109","-87.649678865","POINT (-87.649678864623 41.786867109468)"
"4c3f5cd6a8642b19a7432172066ea2552c3d3bfb289673e847add8b46baed819fb6c59de0c76e2817b7b38a967933728aa89dd3de8fcd806e5b2f0944d9ad8c4",,"2024-06-29T21:55:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-29T21:58:00.000","IMPROPER LANE USAGE","UNABLE TO DETERMINE","2640","W","FULLERTON AVE","1431",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","2","0","21","7","6","41.924948785","-87.69412815","POINT (-87.694128149947 41.924948784943)"
"192fe12659daa34f69da8786a149eafd11280c095b7eb6c0d93c809146799e1671ea72b3c807582baab191c3d7a0c8c1bc4411f5335d02bb0e61bf87577321da",,"2024-06-29T21:44:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-29T22:16:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","551","E","GRAND AVE","1834",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","21","7","6","41.891844095","-87.612529246","POINT (-87.61252924608 41.891844095469)"
"27d583d3b956d566a9285dff277cd804c064abe8608f40285df7830466ac3d563512da721215afc5e2896965893f0d9d6a0587647362f648c2aa363b55f2ba34",,"2024-06-29T21:30:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-29T22:30:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","5403","W","WALTON ST","1524",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","7","6","41.897515973","-87.760954418","POINT (-87.760954417783 41.897515972783)"
"a950fa5ab6da97ed221e69b29b8cfecae90e0184f723e6ee9af00cf1325f8bc8804798d5dfd7b8a87ec7d317c37e2cfbfeb142e6bec79cb61490dbd9ccfa3ce4",,"2024-06-29T21:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","OVER $1,500","2024-06-29T22:55:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3742","W","GRAND AVE","2535",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","7","6","41.904210983","-87.72118956","POINT (-87.721189560122 41.904210983121)"
"d7bdf1915279117d6ade9819431ec7ffafa159886f644bbb97aba9d38aed11b98700097490417f452971311ec0d8060d9273e39a00a7476829e2cfb9b12d36de",,"2024-06-29T21:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-29T21:40:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","9034","S","PARNELL AVE","2223",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","7","6","41.729871141","-87.637511598","POINT (-87.637511597973 41.729871140628)"
"ed5c616483f1f6748493a914185af1352a758570612f129c22ce2912e50a05b864b050b203842974c171469acfb4548fa4a95281ef84e647024ce311616c88d9",,"2024-06-29T20:55:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-29T21:01:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","730","S","CLARK ST","123",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","7","6","41.872780614","-87.630771512","POINT (-87.63077151243 41.872780614066)"
"bdcda3507ce519e1a0239af50fff2604cb5f9168ba4615671fcb4999fed4fda0cdfc8f16983676a463dd6a7b931342172eb8babe3f9d7af4163c06a40efce0bd",,"2024-06-29T20:47:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DUSK","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,"Y","OVER $1,500","2024-06-29T20:52:00.000","DISREGARDING STOP SIGN","UNABLE TO DETERMINE","4200","S","FRANCISCO AVE","921",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","7","6","41.817224476","-87.697077452","POINT (-87.697077451518 41.817224476213)"
"ef7d2cfe7293e955a6f650cb85aca0be57671b7879ff5eb1fd2f995df7f56d049247829273a08e8aa74085569af1973c68cdf53eedbd0a9a48be6161bbb60863",,"2024-06-29T20:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2024-06-29T22:00:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","200","E","PERSHING RD","212",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","7","6","41.823885776","-87.621544108","POINT (-87.621544108431 41.823885776125)"
"028fd0602deff5bc0ad8bb276c88bd67cc3af580091c7cd16ea7c7ef96b73552e42633256541356c370d5badcdee44a82b668ec48880116e006e16a360a94ca7",,"2024-06-29T20:29:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR TO SIDE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-29T20:56:00.000","IMPROPER BACKING","IMPROPER BACKING","333","W","119TH ST","522",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","7","6","41.677821621","-87.631126805","POINT (-87.631126804515 41.677821621002)"
"63c0a6876ba3282d19523b4ecb89b233ac91bce520f5c7720f2d4409c5a9fe04b59a6ff374b6b9563db0461886727f45db25ba4368b34d47f1f2a5b23eded624",,"2024-06-29T20:20:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-06-29T20:24:00.000","IMPROPER OVERTAKING/PASSING","IMPROPER LANE USAGE","1600","W","VAN BUREN ST","1231",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","7","6","41.876460927","-87.666707651","POINT (-87.666707650735 41.876460927341)"
"f6dd9c757146182671f2ebe54a4112b17fbc04c73432b325e9bf9085b38e120bbacd148560873cbb66bd50f85185633d721878e106db128f3878739d22163f9e",,"2024-06-29T20:05:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-29T21:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1300","N","KEDZIE AVE","1422",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","20","7","6","41.904708205","-87.706996667","POINT (-87.706996667352 41.904708204545)"
